,dropout,hidden_layer_width,hidden_layers,l2,lr,mse,trial number
0,0.2,75,10.0,0.001,0.010357524943397789,58.14598846435547,96
1,0.2,75,2.0,0.001,0.09999999999999999,48.65871047973633,96
2,0.2,75,2.0,0.001,0.09999999999999999,53.70357131958008,35
3,0.2,75,2.0,0.001,0.09999999999999999,58.24205017089844,28
4,0.2,75,2.0,0.001,0.0988251117131971,53.56848907470703,9
5,0.2,75,2.0,0.001,0.09999999999999999,49.0399055480957,75
6,0.2,75,8.0,0.001,0.04483654865350971,90.53211975097656,7
7,0.2,75,4.0,0.001,0.09999999999999999,53.91096496582031,32
8,0.2,75,10.0,0.001,0.007748937035372136,48.675907135009766,2
9,0.2,75,10.0,0.001,0.013478621737795921,55.97368621826172,80
10,0.2,75,10.0,0.001,0.01984777610351904,30.453319549560547,50
11,0.2,75,10.0,0.001,0.009457263945663007,57.91302490234375,32
12,0.2,75,2.0,0.001,0.0967660587823447,54.586647033691406,11
13,0.2,75,4.0,0.001,0.09999999999999999,57.2440299987793,93
14,0.2,75,4.0,0.001,0.025476776200871343,53.34680938720703,73
