,dropout,hidden_layer_width,hidden_layers,l2,lr,mse,trial number
0,0.2,75.0,6.0,0.001,0.07979751757055786,97.12791442871094,94
1,0.2,105.0,4.0,0.001,0.02887076089602425,49.72303771972656,98
2,0.2,120.0,2.0,0.001,0.07335372398208134,50.12879943847656,60
3,0.2,105.0,4.0,0.001,0.037964414311585766,54.978275299072266,3
4,0.2,90.0,4.0,0.001,0.035481600886982254,47.70709228515625,2
5,0.2,105.0,8.0,0.001,0.042762819656516945,90.25361633300781,2
6,0.2,60.0,4.0,0.001,0.03222031808191305,52.81675338745117,13
7,0.2,105.0,6.0,0.001,0.013564989505423996,52.61997604370117,4
8,0.2,75.0,4.0,0.001,0.04972607061064957,38.90217590332031,11
9,0.2,105.0,6.0,0.001,0.06237887700371877,52.016204833984375,73
10,0.2,75.0,4.0,0.001,0.014522477414473144,46.02592849731445,7
11,0.2,60.0,8.0,0.001,0.05234344939620176,89.06131744384766,19
12,0.2,60.0,4.0,0.001,0.015276601929557628,46.86982727050781,13
13,0.2,60.0,4.0,0.001,0.030757398763076947,50.159873962402344,25
14,0.2,90.0,8.0,0.001,0.05987223289137087,89.6324462890625,34
