,dropout,hidden_layer_width,hidden_layers,l2,lr,mse,trial number
0,0.2,120.0,2.0,0.001,0.06269922624305294,54.07633972167969,88
1,0.2,60.0,2.0,0.001,0.07923543041228266,52.9593505859375,96
2,0.2,30.0,2.0,0.001,0.0071272469803632015,52.54555130004883,30
3,0.2,120.0,10.0,0.001,0.012661268019003464,51.77336883544922,50
4,0.2,30.0,2.0,0.001,0.002905394312100768,57.30323791503906,27
5,0.2,120.0,4.0,0.001,0.09999999999999999,61.941795349121094,19
6,0.2,120.0,4.0,0.001,0.033019888298955434,47.102149963378906,71
7,0.2,30.0,10.0,0.001,0.03962356323924687,81.92312622070312,82
8,0.2,120.0,8.0,0.001,0.012538188609584095,53.28760528564453,61
9,0.2,60.0,2.0,0.001,0.049695544547069655,51.00685119628906,53
10,0.2,120.0,4.0,0.001,0.09999999999999999,104.4575424194336,7
11,0.2,120.0,4.0,0.001,0.036160834055569795,54.98506164550781,87
12,0.2,120.0,2.0,0.001,0.07311260608405898,52.0147819519043,31
13,0.2,60.0,4.0,0.001,0.09999999999999999,52.69607162475586,74
14,0.2,30.0,6.0,0.001,0.09999999999999999,110.01897430419922,8
