,dropout,hidden_layer_width,hidden_layers,l2,lr,mse,trial number
0,0.2,70,6,0.001,0.02895737848866513,43.20137405395508,6
1,0.2,70,6,0.001,0.033099473973575017,41.78158187866211,98
2,0.2,70,6,0.001,0.011147348352245073,40.9819221496582,15
3,0.2,70,6,0.001,0.02231079004940229,30.74751091003418,88
4,0.2,70,6,0.001,0.035653743010808175,40.7017936706543,97
5,0.2,70,6,0.001,0.06156494897064128,34.06642150878906,33
6,0.2,70,6,0.001,0.04279414469015915,40.8411750793457,86
7,0.2,70,6,0.001,0.019508104130396588,43.79471206665039,52
8,0.2,70,6,0.001,0.01888535164794117,42.06608963012695,41
9,0.2,70,6,0.001,0.02907037624355853,30.627792358398438,69
10,0.2,70,6,0.001,0.012100898693295255,39.690460205078125,35
11,0.2,70,6,0.001,0.005763322262947504,42.44074630737305,40
12,0.2,70,6,0.001,0.01589275007936137,41.5721549987793,26
13,0.2,70,6,0.001,0.008135130337736789,46.73554611206055,98
14,0.2,70,6,0.001,0.03813391676095727,41.649070739746094,33
