,dropout,hidden_layer_width,hidden_layers,l2,lr,mse,trial number
0,0.0,105.0,10.0,0.001,0.0004737238145759994,1.7693363428115845,38
1,0.0,75.0,4.0,0.001,0.007768276694550457,1.853324055671692,67
2,0.0,30.0,4.0,0.001,0.09999999999999999,1.8127168416976929,38
3,0.0,120.0,6.0,0.001,0.008567867202475222,1.3323372602462769,42
4,0.0,120.0,6.0,0.001,0.0038605605013327334,1.4019958972930908,99
5,0.0,120.0,4.0,0.001,0.017317519651585848,1.6631654500961304,46
6,0.0,90.0,4.0,0.001,0.005162498081151582,1.8022167682647705,47
7,0.0,120.0,6.0,0.001,0.0011816601630582086,1.7910999059677124,55
8,0.0,90.0,10.0,0.001,0.0016383428150404348,1.8915882110595703,20
9,0.0,120.0,10.0,0.001,0.0014488612649378935,1.575548529624939,52
10,0.0,120.0,6.0,0.001,0.0057700534951746025,1.712039828300476,41
11,0.00013184520509195328,75.0,8.0,0.001,0.008478630698063625,2.5743134021759033,6
12,0.0,120.0,10.0,0.001,0.004366760178878015,1.6102632284164429,53
13,0.0,120.0,10.0,0.001,0.01322384972879193,1.563088059425354,10
14,0.0,120.0,10.0,0.001,0.0029985926260342245,1.5096945762634277,76
