,dropout,hidden_layer_width,hidden_layers,l2,lr,mse,trial number
0,0.2,70,6,0.001,0.060810321243300235,55.59929656982422,58
1,0.2,70,6,0.001,0.08641432137303105,67.88347625732422,47
2,0.2,70,6,0.001,0.035993059937036394,66.34400939941406,5
3,0.2,70,6,0.001,0.0743347294048026,83.15327453613281,78
4,0.2,70,6,0.001,0.010723282337869665,56.116363525390625,82
5,0.2,70,6,0.001,0.07764677028916536,37.31079864501953,91
6,0.2,70,6,0.001,0.05194250144466726,55.944358825683594,81
7,0.2,70,6,0.001,0.05919627539312636,58.57455062866211,13
8,0.2,70,6,0.001,0.086357566496706,80.2251205444336,76
9,0.2,70,6,0.001,0.06835787952016992,133.93661499023438,61
10,0.2,70,6,0.001,0.014848736225259567,57.640350341796875,28
11,0.2,70,6,0.001,0.027207141701895504,56.563148498535156,27
12,0.2,70,6,0.001,0.013096581640691137,50.8867073059082,31
13,0.2,70,6,0.001,0.09535967605922376,53.880226135253906,64
14,0.2,70,6,0.001,0.07098752858736265,67.25748443603516,74
