,dropout,hidden_layer_width,hidden_layers,l2,lr,mse,trial number
0,0.006731772041943529,60.0,4.0,0.05042635907259173,0.001175841724978677,2.985065460205078,5
1,0.04269913851937274,60.0,4.0,9.585303031945545e-06,0.03312318030659888,9.359724044799805,68
2,0.0053253952536850835,105.0,10.0,0.00516212912914212,0.00640186162805896,4.0118560791015625,13
3,0.0016787392625937647,60.0,10.0,0.01921713151898061,2.2963767000054168e-05,2.8286080360412598,21
4,0.010089935441548847,105.0,6.0,0.0003441869590291273,0.0003105915799773822,3.3972887992858887,51
5,0.004085419121588552,90.0,4.0,0.00011897394736680408,4.5320617848860425e-05,2.6468617916107178,86
6,0.0042624335892475496,90.0,4.0,0.003956498765940629,0.0013524186789092103,2.3137948513031006,18
7,0.006511012362661939,75.0,8.0,0.06984827826114619,0.0005063293831857492,3.686328411102295,46
8,0.0008249414343249328,75.0,8.0,2.2633854504800006e-06,0.008673918833359112,2.866654634475708,14
9,0.006098089201156509,45.0,2.0,0.0012085228300568287,0.0003619751665392624,3.5242702960968018,5
10,0.0028330310157869687,45.0,10.0,1.413819458414274e-06,0.004652245073876518,3.7300589084625244,50
11,0.001064215862928708,60.0,8.0,0.07004054252676309,0.006301711376177808,2.4283626079559326,27
12,0.0002731757382671285,75.0,6.0,0.019245122158956598,0.00047225337840793965,2.3094303607940674,47
13,0.0027913137450492065,45.0,8.0,0.001853799357460947,0.0005456935009798858,2.7512481212615967,69
14,0.009234808243436754,90.0,8.0,0.0005313914428153462,0.004614395805460761,3.4489424228668213,74
